case_id,jurisdiction,booking_location,sg_touchpoint,us_touchpoint,customer_type,ai_system_type,evidence_coverage_ratio,unsupported_claim_rate,contradiction_count,human_challenge_rate,model_drift_flag,jurisdiction_conflict_flag,privacy_exception_flag,rule_set_triggered,final_tool_output,human_owner,explanation
SOW-001,Singapore,Singapore,True,False,corporate_client,agentic_ai,0.85,0.04,0,0.22,False,False,False,SG-AML-626;SG-AI-MRM;SG-FEAT,Green,Relationship Manager + Standard Compliance Review,evidence metrics within Green thresholds
SOW-002,Singapore,Singapore,True,False,trade_finance_customer,agentic_ai,0.64,0.27,2,0.36,False,False,False,SG-AML-626;SG-AI-MRM;SG-FEAT,Red friction,Senior Compliance Officer,evidence coverage below threshold; unsupported claim rate above threshold; material contradictions require senior review
SOW-003,United States,New York Agency,False,True,trade_finance_customer,agentic_ai,0.73,0.16,0,0.25,False,False,False,US-CDD-FINCEN;US-AI-GAP,Amber + governance gap,Financial Crime Compliance Officer,US AI governance gap warning triggered; evidence coverage requires review; unsupported claim rate requires review
SOW-004,Singapore,Singapore,True,False,private_banking_client,generative_ai,0.88,0.07,0,0.53,False,False,False,SG-AML-626;SG-AI-MRM;SG-FEAT,Green,Relationship Manager + Standard Compliance Review,evidence metrics within Green thresholds
SOW-005,Cross-border,Singapore with US relationship request,True,True,corporate_client,generative_ai,0.93,0.05,0,0.26,False,True,False,SG-AML-626;SG-AI-MRM;SG-FEAT;US-CDD-FINCEN;US-AI-GAP;DUAL-RULE-REVIEW,Amber + governance gap,Financial Crime Compliance Officer,dual Singapore/US rule review required; US AI governance gap warning triggered
SOW-006,United States,Los Angeles Agency,False,True,high_net_worth_individual,agentic_ai,0.86,0.03,0,0.45,False,False,False,US-CDD-FINCEN;US-AI-GAP,Amber + governance gap,Financial Crime Compliance Officer,US AI governance gap warning triggered
SOW-007,Singapore,Singapore,True,False,private_banking_client,agentic_ai,0.65,0.23,3,0.43,False,False,False,SG-AML-626;SG-AI-MRM;SG-FEAT,Red friction,Senior Compliance Officer,evidence coverage below threshold; unsupported claim rate above threshold; material contradictions require senior review
SOW-008,Singapore,Singapore,True,False,corporate_client,generative_ai,0.78,0.17,0,0.54,False,False,False,SG-AML-626;SG-AI-MRM;SG-FEAT,Amber,Financial Crime Compliance Officer,evidence coverage requires review; unsupported claim rate requires review
SOW-009,United States,New York Agency,False,True,legal_entity,generative_ai,0.95,0.05,0,0.47,False,False,False,US-CDD-FINCEN;US-AI-GAP,Amber + governance gap,Financial Crime Compliance Officer,US AI governance gap warning triggered
SOW-010,Cross-border,Singapore with US relationship request,True,True,high_net_worth_individual,non_generative_ai,0.87,0.05,0,0.5,False,True,False,SG-AML-626;SG-AI-MRM;SG-FEAT;US-CDD-FINCEN;US-MRM-SR26-2;DUAL-RULE-REVIEW,Green,Relationship Manager + Standard Compliance Review,dual Singapore/US rule review required
